t0,duration(second)
20180930_0000,209.52658367156982
20180930_0030,274.15721583366394
20180930_0100,219.6239230632782
20180930_0130,225.77567100524902
20180930_0200,210.73378109931946
20180930_0230,242.78838348388672
20180930_0300,207.53280448913574
20180930_0330,207.0596342086792
20180930_0400,216.1801941394806
20180930_0430,254.01024317741394
20180930_0500,201.1251060962677
20180930_0530,187.42930245399475
20180930_0600,191.18492770195007
20180930_0630,178.56426811218262
20180930_0700,199.27302980422974
20180930_0730,249.01764249801636
20180930_0800,202.5796844959259
20180930_0830,180.81404852867126
20180930_0900,141.41357493400574
20180930_0930,161.9763307571411
20180930_1000,157.7641100883484
20180930_1030,143.67690086364746
20180930_1100,135.32490277290344
20180930_1130,199.90899896621704
20180930_1200,212.25177478790283
20180930_1230,173.32894945144653
20180930_1300,173.55663585662842
20180930_1330,172.0954554080963
20180930_1400,142.76385974884033
20180930_1430,181.22852277755737
20180930_1500,152.96042799949646
20180930_1530,142.26337337493896
20180930_1600,169.84662771224976
20180930_1630,228.19407558441162
20180930_1700,178.45330595970154
20180930_1730,171.93634390830994
20180930_1800,177.27034616470337
20180930_1830,154.172189950943
20180930_1900,158.53354382514954
20180930_1930,163.71077752113342
20180930_2000,161.67086601257324
20180930_2030,183.9874918460846
20180930_2100,171.27678298950195
20180930_2130,210.09976935386658
20180930_2200,169.06240677833557
20180930_2230,150.9582495689392
20180930_2300,159.75744462013245
20180930_2330,154.06817412376404
