t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20190630_0000,87.86498794535227,83.65628179869667,80.84954552990277,78.25480204963787,76.28482572804403,75.5162707872591,73.63788142517139,71.33658550241813,69.24171280398066,67.59630776173921,65.88653522464573,64.59239684291165,62.68657761839055,61.41843873572436,60.26373227896209,59.256108445832865,58.22648608498261,57.13768595156383,69.65039791751198,68.41901028285994,87.86498794535227,57.13768595156383
20190630_0030,88.67188618212006,85.01920431093785,82.01309705029153,78.5904585982736,76.00977050511271,73.9834606489593,72.53739131661155,70.32078278542544,68.53032336962251,66.02203559596272,64.37242485413267,62.68418373395257,61.82081892223585,60.3812485682353,59.294967734749704,57.79833810488094,56.63181610166508,54.32746558338975,68.83387077591993,67.27617948279261,88.67188618212006,54.32746558338975
20190630_0100,87.77308088522611,83.3348497679855,80.56135678744131,78.55384984239586,76.46964331859674,75.41519366333293,75.13886067703773,73.33946298703094,72.28928265099056,70.92770277808769,69.0613871283486,67.41662199884443,65.26918511277145,64.2742985883761,63.319510268562404,63.22209386592428,62.4150511481508,61.45741257999505,71.67993578050546,71.60849271453912,87.77308088522611,61.45741257999505
20190630_0130,89.38234692654308,84.88556442544751,81.92826971598855,79.51235912558047,77.1541354423029,75.3268760067781,74.26363940644873,72.07347295786968,70.48025450216842,68.5070874938901,67.08487344668568,65.12497178966373,63.95324641778301,62.66900350525789,61.36831312095605,60.39664012525478,58.66599785422676,57.435752728874455,70.56737805509555,69.49367099802926,89.38234692654308,57.435752728874455
20190630_0200,89.25467013147112,85.1263722589387,83.23884437564068,81.5100970657146,79.03965901439054,76.4961400040375,74.9863836324279,73.51709085788714,71.97796772737532,70.95839103387411,69.00779741040132,67.01481455291164,65.56974702202537,63.617996628070614,62.56796377100855,61.205907316245124,60.376952507749515,59.935212441361884,71.96677820841843,71.46817938062472,89.25467013147112,59.935212441361884
20190630_0230,89.73976347205178,85.57128279175026,82.299012203017,79.74652608058096,77.35206111169782,74.66077070638683,74.38095989782519,72.57600686744402,70.9868118657851,69.65745357603798,68.17915813234127,66.62927225426365,65.14955016126295,63.81766956474962,62.47294917805826,61.516285346255295,60.99972862239461,60.544858003442336,71.46000665751916,70.32213272091154,89.73976347205178,60.544858003442336
20190630_0300,89.6012848264786,85.81405991480973,82.30718235161363,80.18138897459262,77.56134201301953,73.90375844146661,72.49966499989421,70.47193077791248,68.78071274208867,66.77847564080801,64.59093996059683,62.88291194537414,61.13189801468032,60.21008598036814,59.460386187607575,58.60688822408097,56.539024900606826,54.661348138964506,69.22129355749797,67.77959419144834,89.6012848264786,54.661348138964506
20190630_0330,89.66341151906092,85.55976822376422,81.63136866669024,77.5669823895734,73.98249940782232,71.07117785516662,69.13800712951961,67.06607763634774,65.1027595198731,63.79398474718354,62.721983571726426,61.06994944061962,59.589175841694306,57.441494711405404,55.59995148640272,53.6890598032589,52.23549488054607,52.049061956444994,66.6095671548389,64.44837213352832,89.66341151906092,52.049061956444994
20190630_0400,88.13958572829023,83.75482450640249,80.48218144778318,76.88609743676795,73.81706439661374,71.01294407032542,69.68383460440137,68.21638723598599,66.51046148881238,65.00125499453908,62.62141492686417,60.45198501468884,58.29324793448089,56.66119716461013,56.14718586933499,55.494201395736454,54.81712190604265,53.57388337821051,66.75360408332725,65.75585824167572,88.13958572829023,53.57388337821051
20190630_0430,87.80376846036326,83.39822080568051,80.51332715028832,77.66259788586967,75.37347515571118,73.17932444061962,72.33652848159228,69.92757291645573,67.70274640864619,65.96536359042675,64.15200840115516,62.93396147699338,62.09754887304142,60.90544637986375,59.48379692396946,58.75282416267177,57.92336412903906,57.976978001785064,68.78271409134291,66.83405499953648,87.80376846036326,57.92336412903906
20190630_0500,87.6389485234483,82.83040223456291,79.4306691049914,76.76699839225024,73.33360333178084,70.6715090423955,68.42889298675048,65.88409031241795,64.41917036257325,63.249635798031726,61.98508049680931,60.299153114181394,59.14964701966833,58.01489520021599,57.742689137396965,57.423963072515285,57.29659922513991,56.765289979467504,66.74062429636652,63.83440308030249,87.6389485234483,56.765289979467504
20190630_0530,85.83280759237778,79.5010428690035,75.29377678354851,71.13326289677983,68.9623260698346,67.5288665815164,66.58566221142162,65.18148256219631,63.483014989185335,62.0368533227514,60.308439954958814,59.93594791830734,59.154275709302176,58.288022782211335,57.31461846578478,56.47213690215006,54.39211080511907,53.16063950272605,64.69807155106527,62.75993415596837,85.83280759237778,53.16063950272605
20190630_0600,84.44577150994533,79.53202940404306,75.9760723477725,73.46510340791257,71.58570468010606,69.80281370403767,68.47114393789082,67.40637820111812,66.08061637003203,64.61182369248318,63.58356236961489,62.39456057087078,60.61526437033786,58.72212322479615,57.95822688123897,57.086616756448194,56.30039401925736,54.94150029802367,66.27665031921828,65.34622003125762,84.44577150994533,54.94150029802367
20190630_0630,85.75000159040161,80.47841366098729,76.45052055416474,73.68552428619888,71.40938094705027,70.08977791778233,69.15149023092943,67.58369482433193,66.10724023023326,63.76014699429574,61.22698309843943,59.234993547027685,58.49862539122219,58.200036531586775,57.81994012738,56.87756996949197,55.36492024732611,54.50893015030947,65.8998994610644,64.9336936122645,85.75000159040161,54.50893015030947
20190630_0700,86.02863524939036,81.46857981970355,77.46626765369875,73.76609940178535,71.1083148448624,69.27328418997611,67.73050131636683,65.05548355742751,62.88487370611321,62.06473455943624,60.80095504005427,58.89416476355673,57.47795673026578,55.13787145325508,54.08099027409372,53.74682002221506,53.53139639673189,52.36610699184999,64.60461310948794,62.47480413277472,86.02863524939036,52.36610699184999
