t0,duration(second)
20190630_0000,113.56417751312256
20190630_0030,124.67471313476562
20190630_0100,84.43269205093384
20190630_0130,103.35084915161133
20190630_0200,90.22264623641968
20190630_0230,101.18018579483032
20190630_0300,107.30415034294128
20190630_0330,80.48328018188477
20190630_0400,92.97236180305481
20190630_0430,91.48961567878723
20190630_0500,73.32996106147766
20190630_0530,84.60105633735657
20190630_0600,74.76461815834045
20190630_0630,97.95299458503723
20190630_0700,77.54384064674377
20190630_0730,77.02359771728516
20190630_0800,79.63808035850525
20190630_0830,100.34685564041138
20190630_0900,72.16181516647339
20190630_0930,101.7579574584961
20190630_1000,88.0714066028595
20190630_1030,95.20737552642822
20190630_1100,95.80588150024414
20190630_1130,99.96638607978821
20190630_1200,90.31364488601685
20190630_1230,94.9866087436676
20190630_1300,93.367502450943
20190630_1330,97.18792223930359
20190630_1400,106.0845582485199
20190630_1430,108.75028657913208
20190630_1500,121.90712594985962
20190630_1530,91.27409076690674
20190630_1600,98.78402662277222
20190630_1630,95.25744318962097
20190630_1700,92.34313941001892
20190630_1730,95.27319288253784
20190630_1800,88.84281969070435
20190630_1830,91.40154933929443
20190630_1900,104.21806526184082
20190630_1930,116.0086407661438
20190630_2000,111.95426344871521
20190630_2030,96.75461268424988
20190630_2100,91.9051923751831
20190630_2130,105.87767720222473
20190630_2200,91.33110904693604
20190630_2230,103.79419088363647
20190630_2300,104.49974346160889
20190630_2330,105.7276439666748
