t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20190630_0000,78.21603506058263,71.29852876051764,66.8631857552473,63.452097719491675,60.82283977420756,59.66178230852579,57.88118745532523,56.0437022659416,53.852191402268524,52.031959876459446,50.812519861895865,49.484447268243564,47.84861154179275,47.193906008467415,45.98985690034112,45.24149239746156,44.58246296621115,43.60529978643603,55.27122817274538,52.942075639363985,78.21603506058263,43.60529978643603
20190630_0030,79.80920972115763,73.90340222496293,69.49638274181478,65.50329529776108,62.8931473212993,60.391638635271505,58.03834392173236,55.919580128294136,53.79666870803471,51.18070902269112,49.48004399832084,47.43638455287127,46.734844491302056,45.63201024059093,44.511739468967356,42.92092299714804,41.444853206376685,39.30865911097277,54.91121309942053,52.48868886536292,79.80920972115763,39.30865911097277
20190630_0100,79.57092436108822,73.68844494779772,69.536155437531,66.35217316202967,63.89621606480077,62.16247530660364,61.611224700774194,59.69535320796335,57.86685571383915,56.21066010886685,54.215849764030125,52.22554169048416,49.66578463565743,48.32130928877291,47.27109987890275,46.64947771348098,45.901001141606564,45.21358228289313,57.78078496706236,57.038757911353,79.57092436108822,45.21358228289313
20190630_0130,80.70213416187032,74.42424390871182,69.93850307484625,66.92508592686048,64.46349254024456,61.7248748600032,59.94731391002836,57.35118653055813,55.315347800432704,52.83511678128484,50.880275109333525,48.69896317860119,46.88168988896428,45.71832647075708,44.701991871803195,43.68276347536,42.182670680819726,41.26433939873418,55.9799066427341,54.07523229085877,80.70213416187032,41.26433939873418
20190630_0200,81.31037915236284,75.62397130714619,72.15908403960779,69.45784707532147,66.41990864703104,63.35631839304452,60.614339094408635,58.15002505986523,56.04404052607013,53.95699546602795,51.696123299857454,49.80607118081103,48.199491938410496,46.44453825535443,45.67561321181306,44.59908764360707,43.944384356754476,43.37042368595105,57.268257907413584,55.00051799604904,81.31037915236284,43.37042368595105
20190630_0230,81.1340381669283,74.80444452535697,69.8366098010491,66.19505239729203,62.86484290512511,59.779208312157664,57.93097281831188,55.621710526315795,53.9930294098664,52.32713998866231,50.87968306454128,49.45468105865946,48.1681359063435,46.95280923334174,45.38734216770993,43.75760513877106,43.916816377490484,42.73254434500365,55.8742592301626,53.16008469926436,81.1340381669283,42.73254434500365
20190630_0300,80.63518795480539,74.24919894248224,69.1384427632865,65.46072286333549,62.42400165814564,59.04776433099427,56.87177047257599,54.6391474145335,52.982965841555284,51.07368574114177,48.83428908410607,46.893434037157505,44.463005740232184,44.335378721786554,42.98998638926697,41.76298552195877,39.70929846684808,37.79661095917216,54.07265982796579,52.02832579134853,80.63518795480539,37.79661095917216
20190630_0330,80.34914000964474,74.43105089893024,69.59984565389091,64.30400617413878,60.35750824144594,57.328040859379335,54.9829904422485,52.59438936933136,50.155329349998446,47.99932310816424,47.66865703175697,45.22272064204882,43.29659605090644,41.194210475360634,39.32901835929308,38.09898574076316,36.642985731584346,36.95312393199393,52.250440115048875,49.07732622908134,80.34914000964474,36.642985731584346
20190630_0400,78.60395491597062,72.25193821744095,67.71966805844303,63.3877640130544,59.58758745718736,55.93861009788714,53.00112487105453,52.10625303348972,49.25734316571479,47.06307067392938,44.554422160749965,42.253441528165666,40.746500064219006,39.01875706214689,38.996197515234456,38.48271359311102,37.775281291800354,36.617302255016895,50.96455166525645,48.16020691982209,78.60395491597062,36.617302255016895
20190630_0430,78.21319268873917,71.15263260552796,66.35924024128819,61.13632705617255,59.160146711968665,55.485660104197464,53.37524652364124,50.5080200867827,47.85306752264566,46.6981022508188,44.59582156561255,43.85608666287979,43.0762781050727,41.75690838399916,40.384277830816714,39.07759240891076,37.34318815723,37.307167682295955,50.963275366033336,47.27558488673223,78.21319268873917,37.307167682295955
