t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20190815_0000,74.80498926027809,66.46969279267401,59.811797548153066,54.51588184584553,49.643284535740385,44.834254331409774,43.539965144835534,41.14256781859369,39.628036806829066,38.75235328148922,37.497121841516766,35.85269624062028,34.2698509699391,33.25791374225937,32.45439693031761,31.63811325117618,30.682485437805333,29.887069895678525,43.260137315286755,39.19019504415914,74.80498926027809,29.887069895678525
20190815_0030,72.53761638655286,62.715415393339846,55.85683541171442,51.15212495876303,46.89146506663509,44.50671730164564,44.473804529073206,42.79339875524295,40.17902397816622,37.935006379722346,36.19299678088427,35.1566855048584,34.55208454019379,34.01100830769976,33.33963958282658,32.821114615941006,32.90688075718428,32.73451242715426,42.819796148755444,39.05701517894428,72.53761638655286,32.73451242715426
20190815_0100,72.14873123255288,63.398401426615294,57.41840892646331,52.52307323504735,48.31900635065436,44.444974999488394,42.795562387221814,40.25377643504532,38.764476539842896,37.74212903022073,36.33858083804363,35.50770236839345,35.0343649499095,34.69459414072638,34.41927386273189,33.46247327351474,32.69792931727888,31.53284805144883,42.86090596473331,38.25330278503181,72.14873123255288,31.53284805144883
20190815_0130,71.45220286475544,61.44108362146039,53.974350285038675,48.08612697490831,44.122536871321074,41.68379751504887,40.323774496096746,38.90041359281204,37.32634847958269,36.46199406445217,36.24791515876263,35.3498148961536,34.49301070567513,33.69396348268069,32.379326274784,32.63720147583247,32.5552885794145,32.1792882710092,41.29491320054381,36.89417127201743,71.45220286475544,32.1792882710092
20190815_0200,70.66802685543433,61.49337769031331,55.359755212346585,50.96398168219469,47.611188294979335,44.2843559068287,43.10506159059465,42.51850386561825,41.13868881038675,39.16785065845046,37.912298995664344,36.41915855186654,36.948731029205454,37.01953700622712,36.52584143522533,36.125008631458684,35.24180639826089,33.95572185843467,43.69216080408279,40.15326973441861,70.66802685543433,33.95572185843467
20190815_0230,73.26076764711877,64.57146598572645,58.55445216205759,54.13723006005425,51.52716404647272,48.27335329847892,46.304772620597134,43.858678469807145,41.52070427127486,41.49919639987142,41.00659435787758,39.95950369954521,39.35395344028721,38.60189595693907,37.53328801382037,36.10301699712328,35.284028222030614,35.202486459871984,45.91958622827526,41.50995033557314,73.26076764711877,35.202486459871984
20190815_0300,73.6093711868543,65.82940304541167,59.79227989744239,54.87376331296967,49.64277951889167,45.537683539346304,45.79596829236976,44.86328846749252,43.74128651424315,42.939642324888226,41.37514843582705,39.68153870408324,38.325668562071854,37.3505960218451,36.893065641463764,36.294555152374116,34.84423371562959,34.647605029516306,45.890993186817816,43.34046441956569,73.6093711868543,34.647605029516306
20190815_0330,74.2376381223958,64.95346456508318,58.304317483071465,55.57846865852502,52.628734573717274,49.46270105379922,48.81456799265018,47.41971930684309,45.66205270242461,43.73121568732217,42.072558768097466,41.51423431467815,40.73992736426689,39.72988920212418,39.534452046541766,40.07973627678036,39.06715544308994,38.35237838739051,47.882400663822295,44.69663419487339,74.2376381223958,38.35237838739051
20190815_0400,74.06698725211275,66.07455522160505,60.11763133270953,56.149137244096245,52.67689853035892,49.80497054730816,47.39158251181467,45.12007641384792,44.13478582614832,42.86163801654023,40.89575551782683,40.499119774608445,40.40136839174192,39.140390587987575,37.77864314043745,37.829399764051026,38.34859632644542,37.43430991516779,47.262547017489354,43.49821192134428,74.06698725211275,37.43430991516779
20190815_0430,76.04854179873135,67.61591083842634,61.31542157813921,56.07777131197654,52.66648721399731,50.61196363547326,49.356622736585635,47.09501797637391,46.49617493737729,46.091000419142155,44.86907850009571,43.16893015702556,42.8989755856582,43.15893084539619,42.685151757394465,41.84236569953463,41.85737680322033,41.28257408240561,49.72990532649742,46.293587678259726,76.04854179873135,41.28257408240561
20190815_0500,74.81028863079347,66.47475820338273,61.4241654219929,57.11596542091755,53.23334216257578,51.89662929436536,51.771104680059075,49.88402460695296,48.15716428460597,47.717799795011956,47.92603170167301,47.43178007356123,46.662053722880756,46.74416814742683,45.874595172114454,45.01196327923996,43.8988427833246,42.57292880199484,51.589311454604086,48.04159799313949,74.81028863079347,42.57292880199484
20190815_0530,75.63143184657591,66.61895993865106,61.964282182623656,58.67827864943943,55.31136762673241,52.50152801608283,51.4291809645028,50.44220635821034,49.288191693515735,48.627379657448245,48.19976045409572,46.92061145687268,46.5767904486302,44.80546371900085,43.53284388955715,43.46046748562126,42.33690113005014,41.60114367405289,51.55148828842574,48.957785675481986,75.63143184657591,41.60114367405289
20190815_0600,76.13717613717613,68.140386461784,62.189383973463976,58.23282950896703,54.97937402155158,52.55708119081347,51.9318420094247,50.782550661767644,48.63036788913834,47.21758248033463,45.291704050982155,43.20779417836135,42.074966159170515,41.177945211202875,41.11499347022701,40.52211460238216,39.75378543561709,38.71058636907578,50.147359100635576,47.923975184736484,76.13717613717613,38.71058636907578
20190815_0630,75.15776044386982,67.18006970229953,62.45327709535013,58.661492729417894,55.726382956519146,53.10002745492815,51.6449230144103,49.01343393844631,46.40128826308437,44.77372538856474,42.95978608140019,42.27492953087202,41.222132116447206,40.3709639697891,39.195873108365184,39.04121018522618,38.80815039780409,37.65568063013226,49.202283722607035,45.587506825824555,75.15776044386982,37.65568063013226
20190815_0700,76.99645889329749,69.3237676614207,63.75695842709938,58.848031289940096,54.97585638811566,51.78990303446833,49.68462160076934,48.181960078260836,47.359482439127945,46.06705351386202,44.55221456288845,43.257470471776244,43.22020431728858,42.8508603735615,41.37862326439867,40.52761199458256,40.21318701088423,39.760669633252164,50.15249638638856,46.71326797649498,76.99645889329749,39.760669633252164
20190815_0730,77.31592734515382,68.92138025316034,62.63589594253543,57.94903244455208,54.871184945040184,52.00313776122988,50.5465709687371,48.96722645557446,47.24637574724968,46.66298511150026,45.966104878383554,44.43846642204599,43.273009472039234,43.21873926455328,43.520651868502384,42.686726359221936,41.80374361883153,40.60393711997833,50.70172755434941,46.954680429374974,77.31592734515382,40.60393711997833
20190815_0800,76.08451236294624,68.06654765661132,61.44286423019679,56.023999807616775,52.26697525397444,49.47497834962267,48.21178426764964,46.563195396614894,44.34450632461415,43.267625435693155,43.317535197855165,43.49272213537227,42.861184356083,42.21931701133032,41.219984313048236,40.51837529739015,40.313527325973666,39.60606245666723,48.849760954403344,43.91861422999321,76.08451236294624,39.60606245666723
20190815_0830,74.0727734406656,65.70577441985968,60.708268041584525,57.23494674551364,53.85206655243646,50.609258212423846,49.45824233170335,48.58743835274702,47.57419811782789,46.346616431313535,45.23550408385365,44.142422443223985,43.05307624929316,42.26307742068276,41.25606275177388,40.26819081116729,38.946032863591526,38.09773749634991,49.30064926477842,46.96040727457071,74.0727734406656,38.09773749634991
20190815_0900,75.59604328711532,68.11506059377393,61.602397376455954,56.85497080935781,54.27833839885521,52.74356238785703,51.74515969687113,50.492437914744585,49.0479802169499,48.023297483982,47.01978212690111,45.70443925233645,44.28593586412812,42.97582583107198,42.45821235187947,41.836606441476825,41.42287494995958,41.350425877024584,50.86407504781894,48.53563885046595,75.59604328711532,41.350425877024584
20190815_0930,75.0122371368865,67.17159377799496,62.31635416757383,58.740271353816794,56.22651625902173,54.63575331511961,53.116084238995995,52.0660346117523,50.51975812350656,48.88462238030759,47.16322644158611,45.84599920559649,44.95750857318688,44.50561666040123,44.119671121735664,43.841163671528726,43.79321819303315,43.48629124938434,52.022328915634915,49.702190251907076,75.0122371368865,43.48629124938434
20190815_1000,76.33138022348292,69.57049118692316,64.72584593421703,61.099047292077934,58.26359744661526,55.48454744764534,54.126201606531474,51.900422679863986,50.280796321137466,49.779489664347956,49.02550627834258,48.29581026253953,47.70702858811695,47.23470417765622,46.982299173193184,46.840384441168474,45.66976042860723,44.90062150021537,53.789885258482336,50.03014299274271,76.33138022348292,44.90062150021537
20190815_1030,77.3040271991572,70.18564316537486,65.1515015244588,61.498994630664875,58.64273430970582,55.81467268917994,54.37309344187212,52.78786401330955,51.94599730241002,51.200771335416725,50.79146885248683,50.07782500491751,49.313493837409794,48.45305136362863,47.47100515463917,47.01753788958318,45.74401876399785,44.65445405934248,54.57934191875307,51.57338431891337,77.3040271991572,44.65445405934248
20190815_1100,77.01811827191644,69.27787895069683,63.812906327152575,60.681114551083596,58.154462662683535,56.70754966768538,55.81596217376206,54.08232342673587,53.10229451887183,52.41990879640503,51.27943269936426,50.36611870092885,49.52103731145806,48.683266502634346,47.44032236870921,46.19065701241877,45.94990170914491,45.4753355561255,54.77658840043206,52.761101657638434,77.01811827191644,45.4753355561255
20190815_1130,75.75173416341428,68.1378448788068,63.17976780300229,60.4575416828228,58.34309302102333,56.595161151120536,55.8513393429925,54.246218344569705,52.416231688836504,51.18721930176753,50.10439675416774,49.1464618607734,48.126803784751395,47.625223329675414,46.886067280051186,46.198565868384165,46.398163848759125,45.7746793183786,54.245917412405404,51.801725495302016,75.75173416341428,45.7746793183786
20190815_1200,76.12442247200548,69.73018289546773,64.94249082948164,62.1761580408685,59.346940790285565,56.88559632221604,56.28707258562885,54.554436834571206,52.65887652029525,51.46551359878308,51.21168142088488,50.43227132199123,49.220782790339726,48.69798779932623,47.90635421156507,46.859642759996376,46.08661605137737,45.11865959348473,54.98364926880939,52.062195059539164,76.12442247200548,45.11865959348473
20190815_1230,78.002722786318,71.39888662293997,66.10810028464371,62.57492309481273,58.66110993335022,55.52796042586976,53.64656172821138,52.724937245058044,51.68561691054384,50.45322445058245,49.63937672873037,48.81493237321458,47.60820692429657,46.860026050850884,45.7513155330345,44.4815824127588,43.97682732089715,43.512784366006244,53.96828306622885,51.06942068056314,78.002722786318,43.512784366006244
20190815_1300,76.19573385744842,68.87122769966098,64.08514370165058,59.78668670392344,57.48515225639742,55.568818428483304,54.25885884106908,53.083531917174696,51.39274691358025,50.011282617567275,48.85824788801992,47.84884211711078,46.32943653387999,45.33232325076212,44.21439803350986,43.37116876938337,42.26942331332062,40.796068103546986,52.76439394147162,50.702014765573765,76.19573385744842,40.796068103546986
20190815_1330,75.35224078540452,68.2618378789744,63.86352401801283,60.06858036530404,57.666177819465105,55.52971180821219,54.09404983621782,53.11723187812597,52.24788021816139,50.870027117098324,49.76590391757518,48.021606512172546,46.69691631191091,45.01355676983977,43.36132230801859,41.756352663889004,40.355237223232045,39.56899763446942,52.53395305922689,51.55895366762986,75.35224078540452,39.56899763446942
20190815_1400,75.40732221583285,69.22870481675099,65.87023415773972,63.025501522721605,60.33893076174316,58.421304682782605,57.209276185707644,56.5723558166221,54.75229138558506,52.85073199440888,50.79603818661921,47.78986433392977,45.53195068836279,43.605746201675124,42.660718169911654,40.50820757516952,39.675407111086756,38.866913475202985,53.50619440454736,53.80151168999697,75.40732221583285,38.866913475202985
20190815_1430,77.21971240440547,71.5922042397994,67.81023750662193,63.43557760302851,59.44967340431003,56.22902705572418,54.67516637340385,52.21127555227638,49.51797952889053,47.42184877084344,45.397465304325664,44.45196584974995,42.506976701906204,41.310645937895295,40.577480249779555,40.18867501736617,39.33239106515069,39.01285195459601,51.79673080667074,48.46991414986698,77.21971240440547,39.01285195459601
20190815_1500,77.5345151539907,70.26282158137467,64.90278698693132,61.49472776123437,58.267086189687234,55.11681539168095,53.90441126204869,51.183811748354344,49.67240926142745,47.5320047512208,45.582267354877324,44.28441430663273,43.55976090130292,42.786341338056936,42.29046236155263,41.78286852589642,41.478913130870154,41.99204536612827,51.86824796518155,48.60220700632412,77.5345151539907,41.478913130870154
20190815_1530,77.11071450971895,69.81419765187654,64.14404136400745,60.480950680879275,58.172822053366325,56.282437719578404,54.04495150946348,51.214960463281834,50.02542086982139,49.804890985205816,49.33227216955881,48.228396515187185,47.20592775548009,46.24724934751964,45.66215322882621,43.77880608274073,42.20544527208014,40.74887459221054,53.02802848726682,49.9151559275136,77.11071450971895,40.74887459221054
20190815_1600,74.90432642971749,67.65155207061387,62.9752664473334,59.34119267922283,56.460633427926346,55.46285219256632,55.11861290569699,53.65311969170702,51.86925720698604,49.58638957810257,47.949406651364946,46.55359650943351,44.54381279898561,43.0110413800047,41.50722374072628,40.686514820122184,39.74731841433421,38.93294612606575,51.66417017060612,50.72782339254431,74.90432642971749,38.93294612606575
20190815_1630,75.08060963791736,67.5600964949624,63.8785574105887,60.688785536486314,58.290852948346384,56.22861072458941,54.7653435332582,52.53479021707429,50.787482312409,49.138878522827774,47.90694107120031,46.47829314675643,45.5295023166198,44.52212707347745,43.16965878016883,42.027648865297635,40.82134254330666,39.26247077636446,52.148443995091746,49.96318041761839,75.08060963791736,39.26247077636446
