t0,duration(second)
20190815_0000,211.23293089866638
20190815_0030,180.23203492164612
20190815_0100,182.46792221069336
20190815_0130,171.65166354179382
20190815_0200,179.77689003944397
20190815_0230,187.34788608551025
20190815_0300,193.61270093917847
20190815_0330,180.4422423839569
20190815_0400,153.07463026046753
20190815_0430,197.92531609535217
20190815_0500,183.19662189483643
20190815_0530,190.77011609077454
20190815_0600,153.7504312992096
20190815_0630,161.21201181411743
20190815_0700,150.52159118652344
20190815_0730,177.89005517959595
20190815_0800,202.8825285434723
20190815_0830,154.0161280632019
20190815_0900,135.11022782325745
20190815_0930,139.66319227218628
20190815_1000,155.98671984672546
20190815_1030,140.82844257354736
20190815_1100,141.8099501132965
20190815_1130,132.95731687545776
20190815_1200,131.56153321266174
20190815_1230,151.85073328018188
20190815_1300,141.17692875862122
20190815_1330,137.63741755485535
20190815_1400,136.62477159500122
20190815_1430,149.48968982696533
20190815_1500,146.41785955429077
20190815_1530,166.72165298461914
20190815_1600,154.28719472885132
20190815_1630,146.11744022369385
20190815_1700,165.38846278190613
20190815_1730,161.08830666542053
20190815_1800,166.5012457370758
20190815_1830,160.76770043373108
20190815_1900,150.22468876838684
20190815_1930,182.03333067893982
20190815_2000,946.1177494525909
20190815_2030,195.43108654022217
20190815_2100,238.68202829360962
20190815_2130,216.3411741256714
20190815_2200,188.79042983055115
20190815_2230,207.66552782058716
20190815_2300,175.18679308891296
20190815_2330,198.41334700584412
